# Filename:			0.txt
# Last Editted by:		
# Last Editted on:		2012/12/02 13:58
W1528
H900
T10000000

# DefinitionIDs for each kind of asset in the level.
D1,WA,edge_ground_world1.png
D2,WA,corner_ground_world1.png
D3,WA,deep_ground_world1.png
D4,WA,top_ground_world1.png
D7,WA,money.png
D9,GV,world1_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world1.png,Fc:3
D13,WA,deep_lava_world1.png
D14,PL,World 1 platform.png
D28,SW,switch_world1.png,Fc:8
D15,WA,joint_ground_world1.png

# Each Placed Asset in the level and its details.
A3,228,384
A3,228,416
A3,228,448
A3,228,480
A3,228,512
A3,228,544
A3,228,352
A3,1284,0
A3,1284,32
A3,1284,64
A3,1284,96
A3,1284,832
A3,1284,832
A3,1284,864
A3,260,352
A3,292,352
A3,324,352
A3,324,352
A3,356,352
A3,388,352
A3,420,352
A9,484,320
A3,260,384
A3,324,384
A3,292,384
A3,356,384
A3,388,384
A3,420,384
A3,420,512
A3,388,512
A3,356,512
A3,324,512
A3,292,512
A3,260,512
A3,260,480
A3,292,480
A3,324,480
A3,356,480
A3,388,480
A3,420,480
A3,420,448
A3,420,448
A3,388,448
A3,356,448
A3,324,448
A3,292,448
A3,260,448
A3,260,416
A3,292,416
A3,324,416
A3,356,416
A3,388,416
A3,420,416
A3,420,544
A3,388,544
A3,356,544
A3,324,544
A3,260,544
A3,292,544
A11,262,608,D:DownLeft
A10,262,224
A9,548,320
A9,548,256
A9,484,256
A9,484,192
A9,548,192
A9,548,128
A9,484,128
A9,484,64
A9,548,64
A9,548,0
A9,484,0
A14,612,216
A14,676,216
A14,868,216
A14,932,216
A14,1124,216
A14,1188,216
A13,260,896
A13,292,896
A13,324,896
A13,356,896
A13,388,896
A13,420,896
A13,452,896
A13,484,896
A13,516,896
A13,548,896
A13,580,896
A13,612,896
A13,644,896
A13,676,896
A13,708,896
A13,740,896
A13,772,896
A13,804,896
A13,836,896
A13,868,896
A13,900,896
A13,932,896
A13,964,896
A13,996,896
A13,1028,896
A13,1060,896
A13,1092,896
A13,1124,896
A13,1156,896
A13,1188,896
A13,1220,896
A12,260,864
A12,292,864
A12,324,864
A12,356,864
A12,388,864
A12,420,864
A12,484,864
A12,420,864
A12,452,864
A12,516,864
A12,548,864
A12,580,864
A12,612,864
A12,644,864
A12,676,864
A12,708,864
A12,740,864
A12,772,864
A12,804,864
A12,836,864
A12,868,864
A12,900,864
A12,932,864
A12,964,864
A12,996,864
A12,1028,864
A12,1060,864
A12,1092,864
A12,1124,864
A12,1156,864
A12,1188,864
A12,1220,864
A14,484,336,D:DownLeft
A14,548,336,D:DownLeft
A14,612,336,D:DownLeft
A14,676,336,D:DownLeft
A14,740,336,D:DownLeft
A14,804,336,D:DownLeft
A14,868,336,D:DownLeft
A14,932,336,D:DownLeft
A14,996,336,D:DownLeft
A14,1060,336,D:DownLeft
A14,1124,336,D:DownLeft
A14,1188,336,D:DownLeft
A3,1188,384
A3,1188,416
A3,1188,448
A3,1188,480
A3,1188,512
A3,1188,544
A3,1156,544
A3,1124,544
A3,1092,544
A3,1060,544
A3,1060,448
A3,1060,416
A3,1060,384
A3,1060,384
A3,1156,384
A3,1124,384
A3,1092,384
A3,1092,416
A3,1124,416
A3,1156,416
A3,1156,480
A3,1124,448
A3,1156,448
A3,1092,448
A3,1092,480
A3,1124,480
A3,1060,480
A3,1060,512
A3,1092,512
A3,1124,512
A3,1156,512
A14,1188,840,D:DownLeft
A14,1124,840,D:DownLeft
A9,868,768
A9,932,768
A9,932,832
A9,868,832
A9,868,704
A9,932,704
A9,932,576
A9,868,576
A9,932,512
A9,868,512
A9,484,448
A9,484,512
A9,548,512
A9,548,576
A9,484,640
A9,548,640
A9,548,704
A9,484,704
A9,484,768
A9,548,768
A9,548,832
A9,484,832
A14,548,648
A14,484,648
A28,484,544
A28,500,544
A14,484,408,D:DownLeft
A14,548,408,D:DownLeft
A14,612,408,D:DownLeft
A14,676,408,D:DownLeft
A14,740,408,D:DownLeft
A14,804,408,D:DownLeft
A14,868,408,D:DownLeft
A14,932,408,D:DownLeft
A9,484,384
A9,548,384
A9,612,384
A9,676,384
A9,740,384
A9,804,384
A9,868,384
A9,932,384
A14,868,677
A14,932,677
A14,996,657
A9,868,448
A9,932,448
A28,612,480
A28,628,480
A28,644,480
A28,660,480
A9,420,640
A9,356,640
A9,356,576
A9,292,576
A9,292,640
A9,292,704
A9,292,768
A9,356,768
A9,356,704
A9,420,704
A9,420,768
A9,420,832
A9,356,832
A9,292,832
A14,612,552,D:DownLeft
A9,548,448
A7,1034,637
A4,260,0,D:DownLeft
A4,292,0,D:DownLeft
A4,324,0,D:DownLeft
A4,356,0,D:DownLeft
A4,388,0,D:DownLeft
A4,420,0,D:DownLeft
A4,452,0,D:DownLeft
A4,484,0,D:DownLeft
A4,516,0,D:DownLeft
A4,548,0,D:DownLeft
A4,580,0,D:DownLeft
A4,612,0,D:DownLeft
A4,644,0,D:DownLeft
A4,676,0,D:DownLeft
A4,708,0,D:DownLeft
A4,772,0,D:DownLeft
A4,740,0,D:DownLeft
A4,804,0,D:DownLeft
A4,836,0,D:DownLeft
A4,868,0,D:DownLeft
A4,900,0,D:DownLeft
A4,932,0,D:DownLeft
A4,964,0,D:DownLeft
A4,996,0,D:DownLeft
A4,1028,0,D:DownLeft
A4,1060,0,D:DownLeft
A4,1092,0,D:DownLeft
A4,1124,0,D:DownLeft
A4,1156,0,D:DownLeft
A4,1188,0,D:DownLeft
A4,1220,0,D:DownLeft
A2,1252,768,D:UpRight
A2,1252,128,D:DownRight
A3,1284,800,D:DownRight
A2,452,576,D:DownLeft
A2,452,320
A4,260,320
A4,292,320
A4,324,320
A4,356,320
A4,388,320
A4,420,320
A4,1060,352
A4,1092,352
A4,1124,352
A4,1156,352
A4,1188,352
A4,1060,576,D:DownLeft
A4,1092,576,D:DownLeft
A4,1124,576,D:DownLeft
A4,1156,576,D:DownLeft
A4,1188,576,D:DownLeft
A4,260,576,D:DownRight
A4,292,576,D:DownRight
A4,324,576,D:DownRight
A4,356,576,D:DownRight
A4,388,576,D:DownRight
A4,420,576,D:DownRight
A2,1028,576,D:DownRight
A2,1220,576,D:DownLeft
A2,1220,352
A2,1028,352,D:UpRight
A3,1284,896,D:UpRight
A9,420,576
A14,676,840,D:DownLeft
A14,740,840,D:DownLeft
A1,228,32
A1,228,64
A1,228,96
A1,228,128
A1,228,160
A1,228,192
A1,228,224
