# Filename:			0.txt
# Last Editted by:		
# Last Editted on:		2012/10/18 02:31
W1528
H2480
T10000000

# DefinitionIDs for each kind of asset in the level.
D3,WA,deep_ground_world3.png
D4,WA,top_ground_world3.png
D27,WA,edge_ground_world3.png
D7,WA,money.png
D9,GV,world3_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world3.png,Fc:3
D13,WA,deep_lava_world3.png
D14,PL,World 3 platform.png
D38,SW,switch_world3.png,Fc:14
D17,WA,corner_ground_world3.png
D22,WA,joint_ground_world3.png
D30,WA,world3_fireball.png,Fc:16
D31,WA,world3_fireball2.png,Fc:16
D32,WA,world3_fireball3.png,Fc:16
D33,WA,world3_fireball4.png,Fc:16

# Each Placed Asset in the level and its details.
A3,128,2448
A3,128,2416
A3,128,2384
A3,128,2352
A3,128,2320
A3,128,2288
A3,128,2256
A3,128,2224
A3,128,2192
A3,128,2160
A3,128,2128
A3,128,2096
A3,128,2064
A3,128,2032
A3,128,2000
A3,128,1968
A3,128,1936
A3,128,1904
A3,128,1872
A3,128,1840
A3,128,1808
A3,128,1776
A3,128,1744
A3,128,1712
A3,128,1680
A3,128,1648
A3,128,1616
A3,128,1584
A3,128,1552
A3,128,1520
A3,128,1488
A3,128,1456
A3,128,1424
A3,128,1392
A3,128,1360
A3,128,1328
A3,128,1296
A3,128,1264
A3,128,1232
A3,128,1200
A3,128,1168
A3,128,1136
A3,128,1104
A3,128,1072
A3,128,1040
A3,128,1008
A3,128,976
A3,128,944
A3,128,912
A3,128,880
A3,128,848
A3,128,816
A3,128,784
A3,128,752
A3,128,720
A3,128,688
A3,128,656
A3,128,624
A3,128,592
A3,128,560
A3,128,528
A3,128,496
A3,128,464
A3,128,432
A3,128,400
A3,128,368
A3,128,336
A3,128,304
A3,128,272
A3,128,240
A3,128,208
A3,128,176
A3,128,144
A3,128,112
A3,128,80
A3,128,48
A3,128,16
A3,160,2448
A3,160,2416
A3,160,2384
A3,160,2352
A3,160,2320
A3,160,2288
A3,160,2256
A3,160,2224
A3,160,2192
A3,160,2160
A3,160,2128
A3,160,2096
A3,160,2064
A3,160,2032
A3,160,2000
A3,160,1968
A3,160,1936
A3,160,1904
A3,160,1872
A3,160,1840
A3,160,1808
A3,160,1776
A3,160,1744
A3,160,1712
A3,160,1680
A3,160,1648
A3,160,1616
A3,160,1584
A3,160,1552
A3,160,1520
A3,160,1488
A3,160,1456
A3,160,1424
A3,160,1392
A3,160,1360
A3,160,1328
A3,160,1296
A3,160,1264
A3,160,1232
A3,160,1200
A3,160,1168
A3,160,1136
A3,160,1104
A3,160,1072
A3,160,1040
A3,160,1008
A3,160,976
A3,160,944
A3,160,912
A3,160,880
A3,160,848
A3,160,816
A3,160,784
A3,160,752
A3,160,720
A3,160,688
A3,160,656
A3,160,624
A3,160,592
A3,160,560
A3,160,528
A3,160,496
A3,160,464
A3,160,432
A3,160,400
A3,160,368
A3,160,336
A3,160,304
A3,160,272
A3,160,240
A3,160,208
A3,160,176
A3,160,144
A3,160,112
A3,160,80
A3,160,48
A3,160,16
A3,192,2448
A3,192,2416
A3,192,2384
A3,192,2352
A3,192,2320
