# Filename:			2.txt
# Last Editted by:		
# Last Editted on:		2012/12/19 00:57
W1528
H2480
T10000000

# DefinitionIDs for each kind of asset in the level.
D6,WA,world3_blades.png
D7,WA,money.png
D9,GV,world3_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world3.png,Fc:3
D13,WA,deep_lava_world3.png
D14,PL,World 3 platform.png
D2,WA,corner_ground_world3.png
D3,WA,deep_ground_world3.png
D4,WA,top_ground_world3.png
D38,SW,switch_world3.png,Fc:14
D27,WA,edge_ground_world3.png
D5,WA,joint_ground_world3.png

# Each Placed Asset in the level and its details.
A27,1376,64,D:UpRight
A27,1376,96,D:UpRight
A27,1376,128,D:UpRight
A27,1376,160,D:UpRight
A27,1376,192,D:UpRight
A27,1376,224,D:UpRight
A27,1376,256,D:UpRight
A27,1376,288,D:UpRight
A27,1376,320,D:UpRight
A27,1376,352,D:UpRight
A27,1376,384,D:UpRight
A27,1376,416,D:UpRight
A27,1376,448,D:UpRight
A27,1376,480,D:UpRight
A27,1376,512,D:UpRight
A27,1376,544,D:UpRight
A27,1376,576,D:UpRight
A27,1376,608,D:UpRight
A27,1376,640,D:UpRight
A27,1376,864,D:UpRight
A27,1376,896,D:UpRight
A27,1376,928,D:UpRight
A27,1376,960,D:UpRight
A27,1376,992,D:UpRight
A27,1376,1024,D:UpRight
A27,1376,1056,D:UpRight
A27,1376,1088,D:UpRight
A27,1376,1120,D:UpRight
A27,1376,1152,D:UpRight
A27,1376,1184,D:UpRight
A27,1376,1248,D:UpRight
A27,1376,1216,D:UpRight
A27,1376,1280,D:UpRight
A27,1376,1312,D:UpRight
A27,1376,1344,D:UpRight
A27,1376,1376,D:UpRight
A27,1376,1408,D:UpRight
A27,1376,1440,D:UpRight
A27,1376,1472,D:UpRight
A27,1376,1504,D:UpRight
A27,1376,1536,D:UpRight
A27,1376,1568,D:UpRight
A27,1376,1600,D:UpRight
A27,1376,1632,D:UpRight
A27,1376,1664,D:UpRight
A27,1376,1696,D:UpRight
A27,1376,1728,D:UpRight
A27,1376,1760,D:UpRight
A27,1376,1792,D:UpRight
A27,1376,1824,D:UpRight
A27,1376,1856,D:UpRight
A27,1376,1888,D:UpRight
A27,1376,1920,D:UpRight
A27,1376,1952,D:UpRight
A27,1376,1984,D:UpRight
A27,1376,2016,D:UpRight
A27,1376,2048,D:UpRight
A27,1376,2080,D:UpRight
A27,1376,2112,D:UpRight
A27,1376,2144,D:UpRight
A27,1376,2176,D:UpRight
A27,1376,2208,D:UpRight
A27,1376,2272,D:UpRight
A27,1376,2240,D:UpRight
A27,1376,2304,D:UpRight
A27,1376,2336,D:UpRight
A27,1376,2368,D:UpRight
A27,1376,2400,D:UpRight
A27,1376,2432,D:UpRight
A27,1376,2464,D:UpRight
A13,1344,2400,D:UpRight
A13,1312,2400,D:UpRight
A13,1280,2400,D:UpRight
A13,1248,2400,D:UpRight
A13,1216,2400,D:UpRight
A13,1184,2400,D:UpRight
A13,1152,2400,D:UpRight
A13,1120,2400,D:UpRight
A13,1088,2400,D:UpRight
A13,1056,2400,D:UpRight
A13,1024,2400,D:UpRight
A13,992,2400,D:UpRight
A13,960,2400,D:UpRight
A13,928,2400,D:UpRight
A13,864,2400,D:UpRight
A13,832,2400,D:UpRight
A13,800,2400,D:UpRight
A13,768,2400,D:UpRight
A13,736,2400,D:UpRight
A13,704,2400,D:UpRight
A13,672,2400,D:UpRight
A13,640,2400,D:UpRight
A13,608,2400,D:UpRight
A13,576,2400,D:UpRight
A13,544,2400,D:UpRight
A13,512,2400,D:UpRight
A13,480,2400,D:UpRight
A13,448,2400,D:UpRight
A13,416,2400,D:UpRight
A13,384,2400,D:UpRight
A13,352,2400,D:UpRight
A13,320,2400,D:UpRight
A13,288,2400,D:UpRight
A13,288,2432,D:UpRight
A13,320,2432,D:UpRight
A13,352,2432,D:UpRight
A13,384,2432,D:UpRight
A13,416,2432,D:UpRight
A13,480,2432,D:UpRight
A13,448,2432,D:UpRight
A13,512,2432,D:UpRight
A13,544,2432,D:UpRight
A13,608,2432,D:UpRight
A13,576,2432,D:UpRight
A13,640,2432,D:UpRight
A13,672,2432,D:UpRight
A13,704,2432,D:UpRight
A13,736,2432,D:UpRight
A13,768,2432,D:UpRight
A13,800,2432,D:UpRight
A13,864,2432,D:UpRight
A13,832,2432,D:UpRight
A13,896,2432,D:UpRight
A13,928,2432,D:UpRight
A13,960,2432,D:UpRight
A13,1024,2432,D:UpRight
A13,992,2432,D:UpRight
A13,1056,2432,D:UpRight
A13,1088,2432,D:UpRight
A13,1152,2432,D:UpRight
A13,1120,2432,D:UpRight
A13,1184,2432,D:UpRight
A13,1216,2432,D:UpRight
A13,1280,2432,D:UpRight
A13,1248,2432,D:UpRight
A13,1344,2432,D:UpRight
A13,1312,2432,D:UpRight
A13,1344,2464,D:UpRight
A13,1312,2464,D:UpRight
A13,1280,2464,D:UpRight
A13,1248,2464,D:UpRight
A13,1216,2464,D:UpRight
A13,1184,2464,D:UpRight
A13,1152,2464,D:UpRight
A13,1120,2464,D:UpRight
A13,1088,2464,D:UpRight
A13,1056,2464,D:UpRight
A13,1024,2464,D:UpRight
A13,992,2464,D:UpRight
A13,960,2464,D:UpRight
A13,928,2464,D:UpRight
A13,896,2464,D:UpRight
