# Filename:			4.txt
# Last Editted by:		
# Last Editted on:		2012/12/01 19:53
W1528
H2480
T10000000

# DefinitionIDs for each kind of asset in the level.
D7,WA,money.png
D9,GV,world3_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world3.png,Fc:3
D13,WA,deep_lava_world3.png
D14,PL,World 3 platform.png
D2,WA,corner_ground_world3.png
D3,WA,deep_ground_world3.png
D4,WA,top_ground_world3.png
D38,SW,switch_world3.png,Fc:14
D27,WA,edge_ground_world3.png
D5,WA,joint_ground_world3.png

# Each Placed Asset in the level and its details.
A3,128,2432
A3,128,2464
A3,160,2464
A3,192,2464
A3,224,2464
A3,256,2464
A3,288,2464
A3,320,2464
A3,352,2464
A3,384,2464
A3,416,2464
A3,448,2464
A3,480,2464
A3,512,2464
A3,544,2464
A3,576,2464
A3,608,2464
A3,640,2464
A3,672,2464
A3,672,2432
A3,640,2432
A3,608,2432
A3,576,2432
A3,544,2432
A3,512,2432
A3,480,2432
A3,448,2432
A3,416,2432
A3,384,2432
A3,352,2432
A3,128,2400
A3,128,2368
A3,128,2336
A3,128,2304
A3,128,2272
A3,128,2240
A3,128,2208
A3,128,2176
A3,128,2144
A3,128,2112
A3,128,2080
A3,128,2048
A3,128,2016
A3,128,1984
A3,128,1952
A3,128,1920
A3,128,1888
A3,128,1856
A3,128,1824
A3,128,1792
A3,128,1760
A3,128,1728
A3,128,1696
A3,128,1664
A3,128,1632
A3,128,1600
A3,128,1568
A3,128,1536
A3,128,1504
A3,128,1472
A3,128,1440
A3,128,1408
A3,128,1376
A3,128,1344
A3,128,1312
A3,128,1280
A3,128,1248
A3,128,1216
A3,128,1184
A3,128,1152
A3,128,1120
A3,128,1088
A3,128,1056
A3,128,1024
A3,128,992
A3,128,960
A3,128,928
A3,1376,928
A3,128,896
A3,128,864
A3,128,832
A3,128,800
A3,128,768
A3,128,736
A3,128,704
A3,128,672
A3,128,640
A3,128,608
A3,128,576
A3,128,544
A3,128,512
A3,128,480
A3,128,448
A3,128,416
A3,128,384
A3,128,352
A3,128,320
A3,128,288
A3,128,256
A3,128,224
A3,128,192
A3,128,160
A3,128,128
A3,128,96
A3,128,64
A3,128,32
A3,128,0
A3,960,0
A3,928,0
A9,192,2176
A9,256,2176
A9,256,2112
A9,192,2112
A9,192,2048
A9,256,2048
A9,256,1984
A9,192,1984
A9,192,1920
A9,256,1920
A9,256,1600
A9,192,1600
A9,256,1536
A9,192,1536
A9,192,1472
A9,256,1408
A9,192,1408
A9,256,1344
A9,192,1344
A9,192,1280
A9,256,1280
A9,256,1216
A9,192,1216
A9,192,1152
A9,256,1152
A9,256,1088
A9,192,1088
A9,192,896
A9,192,832
A9,256,832
A3,352,2400
A3,352,2368
A3,352,2336
A3,352,2304
A9,384,2048
A9,384,2112
A9,384,2176
A3,672,2304
A3,640,2304
A3,608,2304
A3,576,2304
A3,544,2304
A3,512,2304
A3,480,2304
A3,448,2304
A3,416,2304
A3,384,2304
A3,384,2336
A3,672,2336
A3,640,2336
A3,608,2336
A3,576,2336
A3,544,2336
A3,512,2336
A3,480,2336
A3,448,2336
A3,416,2336
A3,384,2368
A3,384,2400
A3,416,2400
A3,416,2368
A3,448,2368
A3,448,2400
A3,480,2400
A3,480,2368
A3,512,2368
A3,512,2400
A3,544,2400
A3,544,2368
A3,576,2368
A3,576,2400
A3,640,2400
A3,608,2400
A3,608,2368
A3,640,2368
A3,672,2368
A3,672,2400
A9,1152,2112
A9,1216,2112
A9,1216,2176
A9,1152,2176
A14,1298,2112
A9,1280,1920
A9,1280,1856
A9,1088,1856
A9,1024,1856
A9,960,1856
A9,896,1856
A9,832,1856
A9,768,1856
A9,768,1792
A9,832,1792
A9,832,1728
A9,768,1728
A9,768,1664
A9,832,1664
A14,960,1560
A14,1088,1488
A14,1216,1416
A14,1216,1248
A14,1088,1176
A9,448,1408
A9,512,1408
A9,512,1600
A9,576,1600
A9,576,1536
A9,576,1472
A9,576,1344
A9,512,1344
A9,448,1344
A9,384,1344
A9,320,1344
A9,320,1280
A9,384,1280
A9,448,1280
A9,512,1280
A9,576,1280
A9,448,1216
A9,320,1152
A9,384,1152
A9,448,1152
A9,448,1088
A9,384,1088
A9,320,1088
A9,640,1024
A9,640,960
A9,640,896
A3,864,672
A3,896,672
A3,928,672
A3,960,672
A3,992,672
A3,1024,672
A3,1056,672
A3,1088,672
A3,1120,672
A3,1152,672
A3,1184,672
A3,1216,672
A9,1280,768
A9,1280,704
A9,1280,640
A9,1280,832
A3,1216,928
A3,1248,928
A3,1280,928
A3,1312,928
A3,1344,928
A9,512,1024
A9,448,1024
A9,256,1024
A9,192,1024
A9,512,1088
A9,512,1152
A9,448,256
A9,512,192
A9,512,256
A9,448,192
A9,320,512
A9,384,384
A9,384,320
A14,384,312,D:DownLeft
A14,192,1032,D:DownLeft
A14,325,1032,D:DownLeft
A14,379,1032,D:DownLeft
A14,512,1032,D:DownLeft
A14,448,1128,D:DownLeft
A14,256,1128,D:DownLeft
A14,192,1224,D:DownLeft
A14,325,1224,D:DownLeft
A14,379,1224,D:DownLeft
A14,448,1320,D:DownLeft
A14,256,1320,D:DownLeft
A14,192,1416,D:DownLeft
A14,325,1416,D:DownLeft
A14,379,1416,D:DownLeft
A14,512,1416,D:DownLeft
