# Filename:			1.txt
# Last Editted by:		
# Last Editted on:		2012/11/30 15:03
W1528
H900
T10000000

# DefinitionIDs for each kind of asset in the level.
D0,WA,top_ground_world4.png
D1,WA,edge_ground_world4.png
D2,WA,corner_ground_world4.png
D34,WA,deep_ground_world4.png
D7,WA,money.png
D9,GV,world4_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world4.png,Fc:2
D13,WA,deep_lava_world4.png
D14,PL,World 4 platform.png,Fc:3
D17,SW,switch_world4.png,Fc:14
D8,WA,joint_ground_world4.png

# Each Placed Asset in the level and its details.
A12,1124,736
A12,1092,736
A12,1060,736
A12,1028,736
A12,996,736
A12,964,736
A12,932,736
A12,900,736
A12,868,736
A12,836,736
A12,804,736
A12,772,736
A12,740,736
A12,708,736
A12,676,736
A12,644,736
A12,612,736
A12,580,736
A12,388,736
A12,420,736
A12,452,736
A12,484,736
A12,516,736
A12,548,736
A13,388,768
A13,388,800
A13,388,832
A13,388,864
A13,388,896
A13,420,768
A13,420,800
A13,420,832
A13,420,864
A13,420,896
A13,452,768
A13,452,800
A13,452,832
A13,452,864
A13,452,896
A13,484,768
A13,484,800
A13,484,832
A13,484,864
A13,484,896
A13,516,768
A13,516,800
A13,516,832
A13,516,864
A13,516,896
A13,548,768
A13,548,800
A13,548,832
A13,548,864
A13,548,896
A13,580,768
A13,580,800
A13,580,832
A13,580,864
A13,580,896
A13,612,768
A13,612,800
A13,612,832
A13,612,864
A13,612,896
A13,644,768
A13,644,800
A13,644,832
A13,644,864
A13,644,896
A13,676,768
A13,676,800
A13,676,832
A13,676,864
A13,676,896
A13,708,768
A13,708,800
A13,708,832
A13,708,864
A13,708,896
A13,740,768
A13,740,800
A13,740,832
A13,740,864
A13,740,896
A13,772,768
A13,772,800
A13,772,832
A13,772,864
A13,772,896
A13,804,768
A13,804,800
A13,804,832
A13,804,864
A13,804,896
A13,836,768
A13,836,800
A13,836,832
A13,836,864
A13,836,896
A13,868,768
A13,868,800
A13,868,832
A13,868,864
A13,868,896
A13,900,768
A13,900,800
A13,900,832
A13,900,864
A13,900,896
A13,932,768
A13,932,800
A13,932,832
A13,932,864
A13,932,896
A13,964,768
A13,964,800
A13,964,832
A13,964,864
A13,964,896
A13,996,768
A13,996,800
A13,996,832
A13,996,864
A13,996,896
A13,1028,768
A13,1028,800
A13,1028,832
A13,1028,864
A13,1028,896
A13,1060,768
