# Filename:			0.txt
# Last Editted by:		
# Last Editted on:		2012/12/18 20:31
W2728
H720
T10000000

# DefinitionIDs for each kind of asset in the level.
D1,PL,World 5 platform.png
D12,ST,hellevator.png
D17,WA,deep_lava_world5.png
D36,GV,world5_gravity.png,Fc:16
D18,SW,switch_world5.png,Fc:8
D10,WA,top_lava_world5.png,Fc:3
D37,WA,money.png
D0,WA,top_ground_world5.png
D2,WA,edge_ground_world5.png
D3,WA,corner_ground_world5.png
D4,WA,deep_ground_world5.png
D5,WA,joint_ground_world5.png
D19,EX,hellevator.png

# Each Placed Asset in the level and its details.
A17,256,704
A17,256,672
A17,256,640
A17,288,704
A17,288,672
A17,288,640
A17,320,704
A17,320,672
A17,320,640
A17,352,704
A17,352,672
A17,352,640
A17,384,704
A17,384,672
A17,384,640
A17,416,704
A17,416,672
A17,416,640
A17,448,704
A17,448,672
A17,448,640
A17,480,704
A17,480,672
A17,480,640
A17,512,704
A17,512,672
A17,512,640
A17,544,704
A17,544,672
A17,544,640
A17,576,704
A17,576,672
A17,576,640
A17,608,704
A17,608,672
A17,608,640
A17,640,704
A17,640,672
A17,640,640
A17,672,704
A17,672,672
A17,672,640
A17,704,704
A17,704,672
A17,704,640
A17,736,704
A17,736,672
A17,736,640
A17,768,704
A17,768,672
A17,768,640
A17,800,704
A17,800,672
A17,800,640
A17,832,704
A17,832,672
A17,832,640
A17,864,704
A17,864,672
A17,864,640
A17,896,704
A17,896,672
A17,896,640
A17,928,704
A17,928,672
A17,928,640
A17,960,704
A17,960,672
A17,960,640
A17,992,704
A17,992,672
A17,992,640
A17,1024,704
A17,1024,672
A17,1024,640
A17,1056,704
A17,1056,672
A17,1056,640
A17,1088,704
A17,1088,672
A17,1088,640
A17,1120,704
A17,1120,672
A17,1120,640
A17,1152,704
A17,1152,672
A17,1152,640
A17,1184,704
A17,1184,672
A17,1184,640
A17,1216,704
A17,1216,672
A17,1216,640
A17,1248,704
A17,1248,672
A17,1248,640
A17,1280,704
A17,1280,672
A17,1280,640
A17,1312,704
A17,1312,672
A17,1312,640
A17,1344,704
A17,1344,672
A17,1344,640
A17,1376,704
A17,1376,672
A17,1376,640
A17,1408,704
A17,1408,672
A17,1408,640
A17,1440,704
A17,1440,672
A17,1440,640
A17,1472,704
A17,1472,672
A17,1472,640
A17,1504,704
A17,1504,672
A17,1504,640
A17,1536,704
A17,1536,672
A17,1536,640
A17,1568,704
A17,1568,672
A17,1568,640
A17,1600,704
A17,1600,672
A17,1600,640
A17,1632,704
A17,1632,672
A17,1632,640
A17,1664,704
A17,1664,672
A17,1664,640
A17,1696,704
A17,1696,672
A17,1696,640
A17,1728,704
A17,1728,672
A17,1728,640
A17,1760,704
A17,1760,672
A17,1760,640
A17,1792,704
A17,1792,672
A17,1792,640
A17,1824,704
A17,1824,672
A17,1824,640
A17,1856,704
A17,1856,672
A17,1856,640
A17,1888,704
A17,1888,672
A17,1888,640
A17,1920,704
A17,1920,672
A17,1920,640
A17,1952,704
A17,1952,672
A17,1952,640
A17,1984,704
A17,1984,672
A17,1984,640
A17,2016,704
A17,2016,672
A17,2016,640
A17,2048,704
A17,2048,672
A17,2048,640
A17,2080,704
A17,2080,672
A17,2080,640
A17,2112,704
A17,2112,672
A17,2112,640
A17,2144,704
A17,2144,672
A17,2144,640
A17,2176,704
A17,2176,672
A17,2176,640
A17,2208,704
A17,2208,672
A17,2208,640
A17,2240,704
A17,2240,672
A17,2240,640
A17,2272,704
A17,2272,672
A17,2272,640
A17,2304,704
A17,2304,672
A17,2304,640
A17,2336,704
A17,2336,672
A17,2336,640
A17,2368,704
A17,2368,672
A17,2368,640
A17,2400,704
A17,2400,672
A17,2400,640
A17,2432,704
A17,2432,672
A17,2432,640
